lab,method,subid,age_days,trial_type,trial_num,looking_time
ubc,single-screen,AJ17,153.5,ADS,1.0,16.83
ubc,single-screen,EM16,133.2,ADS,1.0,7.02
ubc,single-screen,OJ21,158.5,ADS,1.0,13.77
ubc,single-screen,AZ13,186.8,ADS,1.0,6.78
ubc,single-screen,YL19,156.5,ADS,1.0,18.59
ubc,single-screen,OC20,166.5,ADS,1.0,2.32
ubc,single-screen,EA24,163.5,ADS,1.0,13.91
ubc,single-screen,EF27,194.8,ADS,1.0,17.91
ubc,single-screen,NB33,186.8,ADS,1.0,10.99
ubc,single-screen,I?35,140.2,ADS,1.0,2.67
ubc,single-screen,IV34,103.9,ADS,1.0,20.0
ubc,single-screen,OC29,155.5,ADS,1.0,14.04
ubc,single-screen,AC18,111.9,ADS,2.0,17.92
ubc,single-screen,ES14,159.5,ADS,2.0,13.28
ubc,single-screen,GM26,198.8,ADS,2.0,18.6
ubc,single-screen,C38,169.5,ADS,2.0,3.31
ubc,single-screen,SF11,181.5,ADS,2.0,2.75
ubc,single-screen,M25,178.5,ADS,2.0,18.31
ubc,single-screen,FA23,174.5,ADS,2.0,6.6
ubc,single-screen,AJ17,153.5,ADS,2.0,14.81
ubc,single-screen,EM16,133.2,ADS,2.0,4.07
ubc,single-screen,OJ21,158.5,ADS,2.0,16.15
ubc,single-screen,AZ13,186.8,ADS,2.0,4.05
ubc,single-screen,YL19,156.5,ADS,2.0,3.06
ubc,single-screen,OC20,166.5,ADS,2.0,8.89
ubc,single-screen,EA24,163.5,ADS,2.0,8.73
ubc,single-screen,EF27,194.8,ADS,2.0,7.66
ubc,single-screen,NB33,186.8,ADS,2.0,5.5
ubc,single-screen,I?35,140.2,ADS,2.0,5.44
ubc,single-screen,IV34,103.9,ADS,2.0,NA
ubc,single-screen,OC29,155.5,ADS,2.0,NA
ubc,single-screen,AC18,111.9,ADS,3.0,12.13
ubc,single-screen,ES14,159.5,ADS,3.0,20.0
ubc,single-screen,GM26,198.8,ADS,3.0,15.67
ubc,single-screen,C38,169.5,ADS,3.0,16.56
ubc,single-screen,SF11,181.5,ADS,3.0,5.23
ubc,single-screen,M25,178.5,ADS,3.0,6.36
ubc,single-screen,FA23,174.5,ADS,3.0,3.01
ubc,single-screen,AJ17,153.5,ADS,3.0,2.24
ubc,single-screen,EM16,133.2,ADS,3.0,16.35
ubc,single-screen,OJ21,158.5,ADS,3.0,16.97
ubc,single-screen,AZ13,186.8,ADS,3.0,13.2
ubc,single-screen,YL19,156.5,ADS,3.0,12.76
ubc,single-screen,OC20,166.5,ADS,3.0,1.72
ubc,single-screen,EA24,163.5,ADS,3.0,7.85
ubc,single-screen,EF27,194.8,ADS,3.0,5.38
ubc,single-screen,NB33,186.8,ADS,3.0,6.53
ubc,single-screen,I?35,140.2,ADS,3.0,2.83
ubc,single-screen,IV34,103.9,ADS,3.0,13.2
ubc,single-screen,OC29,155.5,ADS,3.0,14.33
ubc,single-screen,AC18,111.9,ADS,4.0,6.52
ubc,single-screen,ES14,159.5,ADS,4.0,5.84
ubc,single-screen,GM26,198.8,ADS,4.0,17.52
ubc,single-screen,C38,169.5,ADS,4.0,9.29
ubc,single-screen,SF11,181.5,ADS,4.0,6.68
ubc,single-screen,M25,178.5,ADS,4.0,6.39
ubc,single-screen,FA23,174.5,ADS,4.0,13.21
ubc,single-screen,AJ17,153.5,ADS,4.0,NA
ubc,single-screen,EM16,133.2,ADS,4.0,15.11
ubc,single-screen,OJ21,158.5,ADS,4.0,12.21
ubc,single-screen,AZ13,186.8,ADS,4.0,6.2
ubc,single-screen,YL19,156.5,ADS,4.0,11.74
ubc,single-screen,OC20,166.5,ADS,4.0,0.68
ubc,single-screen,EA24,163.5,ADS,4.0,4.29
ubc,single-screen,EF27,194.8,ADS,4.0,2.54
ubc,single-screen,NB33,186.8,ADS,4.0,18.02
ubc,single-screen,I?35,140.2,ADS,4.0,5.69
ubc,single-screen,IV34,103.9,ADS,4.0,NA
ubc,single-screen,OC29,155.5,ADS,4.0,NA
ubc,single-screen,AC18,111.9,ADS,5.0,16.03
ubc,single-screen,ES14,159.5,ADS,5.0,15.23
ubc,single-screen,GM26,198.8,ADS,5.0,19.53
ubc,single-screen,C38,169.5,ADS,5.0,16.69
ubc,single-screen,SF11,181.5,ADS,5.0,7.6
ubc,single-screen,M25,178.5,ADS,5.0,8.09
ubc,single-screen,FA23,174.5,ADS,5.0,7.31
ubc,single-screen,AJ17,153.5,ADS,5.0,NA
ubc,single-screen,EM16,133.2,ADS,5.0,14.93
ubc,single-screen,OJ21,158.5,ADS,5.0,15.36
ubc,single-screen,AZ13,186.8,ADS,5.0,5.24
ubc,single-screen,YL19,156.5,ADS,5.0,8.84
ubc,single-screen,OC20,166.5,ADS,5.0,18.54
ubc,single-screen,EA24,163.5,ADS,5.0,15.86
ubc,single-screen,EF27,194.8,ADS,5.0,8.7
ubc,single-screen,NB33,186.8,ADS,5.0,15.13
ubc,single-screen,I?35,140.2,ADS,5.0,9.39
ubc,single-screen,IV34,103.9,ADS,5.0,19.48
ubc,single-screen,OC29,155.5,ADS,5.0,4.44
ubc,single-screen,AC18,111.9,ADS,6.0,3.65
ubc,single-screen,ES14,159.5,ADS,6.0,2.97
ubc,single-screen,GM26,198.8,ADS,6.0,18.2
ubc,single-screen,C38,169.5,ADS,6.0,10.0
ubc,single-screen,SF11,181.5,ADS,6.0,6.08
ubc,single-screen,M25,178.5,ADS,6.0,18.05
ubc,single-screen,FA23,174.5,ADS,6.0,15.91
ubc,single-screen,AJ17,153.5,ADS,6.0,NA
ubc,single-screen,EM16,133.2,ADS,6.0,4.44
ubc,single-screen,OJ21,158.5,ADS,6.0,15.84
ubc,single-screen,AZ13,186.8,ADS,6.0,3.4
ubc,single-screen,YL19,156.5,ADS,6.0,7.94
ubc,single-screen,OC20,166.5,ADS,6.0,0.97
ubc,single-screen,EA24,163.5,ADS,6.0,2.11
ubc,single-screen,EF27,194.8,ADS,6.0,2.8
ubc,single-screen,NB33,186.8,ADS,6.0,2.61
ubc,single-screen,I?35,140.2,ADS,6.0,7.28
ubc,single-screen,IV34,103.9,ADS,6.0,NA
ubc,single-screen,OC29,155.5,ADS,6.0,NA
ubc,single-screen,AC18,111.9,ADS,7.0,1.82
ubc,single-screen,ES14,159.5,ADS,7.0,2.33
